Учебный год;Предмет;Этап;Статус;Дата(ГГГГ-ММ-ДД);Срок первичных результатов(ДД.ММ.ГГГГ ЧЧ:ММ);Крайний срок итоговых(ДД.ММ.ГГГГ ЧЧ:ММ);Классы(напр. 4-6 или 4,5,6, пусто=все);Уровень(региональный/республиканский)
2025/2026;Литература;school;planned;2025-09-26;2025-10-16 23:00:00;2025-10-16 23:00:00;;региональный
2025/2026;Марийский язык и литература;school;planned;2025-09-25;2025-10-16 23:00:00;2025-10-16 23:00:00;;республиканский
2025/2026;Удмуртский язык и литература;school;planned;2025-09-25;2025-10-16 23:00:00;2025-10-16 23:00:00;;республиканский
2025/2026;Чувашский язык и литература;school;planned;2025-09-25;2025-10-16 23:00:00;2025-10-16 23:00:00;;республиканский
2025/2026;Мордовский (эрзя) язык и литература;school;planned;2025-09-25;2025-10-16 23:00:00;2025-10-16 23:00:00;;республиканский
2025/2026;Мордовский (мокша) язык и литература;school;planned;2025-09-25;2025-10-16 23:00:00;2025-10-16 23:00:00;;республиканский
2025/2026;Арабский язык;school;planned;2025-09-25;2025-10-28 16:00:00;2025-10-28 16:00:00;;республиканский
2025/2026;Турецкий язык;school;planned;2025-09-25;2025-10-16 23:00:00;2025-10-16 23:00:00;;республиканский
2025/2026;Физика;school;planned;2025-10-01;2025-11-11 23:00:00;2025-11-11 23:00:00;;региональный
2025/2026;Экономика;school;planned;2025-10-16;2025-10-27 23:00:00;2025-10-27 23:00:00;;региональный
2025/2026;История Татарстана и татарского народа;school;planned;2025-09-27;2025-10-16 23:00:00;2025-10-16 23:00:00;;республиканский
2025/2026;Испанский язык;school;planned;2025-09-29;2025-10-16 23:00:00;2025-10-16 23:00:00;;региональный
2025/2026;Итальянский язык;school;planned;2025-09-29;2025-10-16 23:00:00;2025-10-16 23:00:00;;региональный
2025/2026;Китайский язык;school;planned;2025-09-29;2025-10-09 23:00:00;2025-10-16 23:00:00;;региональный
2025/2026;Татарский язык для русскоязычных обучающихся школ с русским языком обучения;school;planned;2025-09-30;2025-10-16 16:00:00;2025-10-16 16:00:00;;республиканский
2025/2026;Геология;school;planned;2025-09-30;2025-10-26 23:00:00;2025-10-26 23:00:00;;республиканский
2025/2026;Русская литература для учащихся школ с родным (нерусским) языком обучения;school;planned;2025-09-30;2025-10-16 23:00:00;2025-10-16 23:00:00;;республиканский
2025/2026;Русский язык для учащихся школ с родным (нерусским) языком обучения;school;planned;2025-09-29;2025-10-16 23:00:00;2025-10-16 23:00:00;;республиканский
2025/2026;Химия;school;planned;2025-10-17;2025-11-10 23:00:00;2025-11-10 23:00:00;;региональный
2025/2026;История;school;planned;2025-10-02;2025-10-16 12:00:00;2025-10-16 12:00:00;;региональный
2025/2026;Астрономия;school;planned;2025-09-24;2025-10-16 23:00:00;2025-10-16 23:00:00;;региональный
2025/2026;Экология;school;planned;2025-10-03;2025-10-26 23:00:00;2025-10-26 23:00:00;;региональный
2025/2026;Родной (татарский) язык для обучающихся школ с родным языком обучения;school;planned;2025-10-04;2025-10-21 23:00:00;2025-10-21 23:00:00;;республиканский
2025/2026;Родной (татарский) язык для обучающихся школ с русским языком обучения;school;planned;2025-10-04;2025-10-16 23:00:00;2025-10-16 23:00:00;;республиканский
2025/2026;География;school;planned;2025-10-06;2025-10-16 23:00:00;2025-10-16 23:00:00;;региональный
2025/2026;Биология;school;planned;2025-10-07;2025-10-30 23:00:00;2025-10-30 23:00:00;;региональный
2025/2026;Родная (татарская) литература для обучающихся школ с русским языком обучения;school;planned;2025-10-09;2025-10-16 23:00:00;2025-10-16 23:00:00;;республиканский
2025/2026;Родная (татарская) литература для обучающихся школ с родным языком обучения;school;planned;2025-10-09;2025-10-22 23:00:00;2025-10-22 23:00:00;;республиканский
2025/2026;Английский язык;school;planned;2025-10-10;2025-10-28 23:00:00;2025-10-28 23:00:00;;региональный
2025/2026;Немецкий язык;school;planned;2025-10-10;2025-10-21 17:00:00;2025-10-21 17:00:00;;региональный
2025/2026;Французский язык;school;planned;2025-10-10;2025-10-17 23:00:00;2025-10-17 23:00:00;;региональный
2025/2026;Искусство (МХК);school;planned;2025-10-06;2025-10-26 23:00:00;2025-10-26 23:00:00;;региональный
2025/2026;Физическая культура;school;planned;2025-10-16;2025-11-11 23:00:00;2025-11-11 23:00:00;;региональный
2025/2026;Обществознание;school;planned;2025-10-13;2025-10-27 23:00:00;2025-10-27 23:00:00;;региональный
2025/2026;ОБЗР;school;planned;2025-10-02;2025-10-28 23:00:00;2025-10-28 23:00:00;;региональный
2025/2026;Русский язык;school;planned;2025-10-08;2025-11-24 11:00:00;2025-11-24 11:00:00;;региональный
2025/2026;Право;school;planned;2025-10-09;2025-10-21 23:00:00;2025-10-21 23:00:00;;региональный
2025/2026;Математика;school;planned;2025-10-14;2025-11-13 23:00:00;2025-11-13 23:00:00;;региональный
2025/2026;Информатика (робототехника);school;planned;2025-10-21;2025-11-19 23:00:00;2025-11-19 23:00:00;;региональный
2025/2026;Информатика (программирование);school;planned;2025-10-22;2025-11-20 23:00:00;2025-11-20 23:00:00;;региональный
2025/2026;Информатика (искусственный интеллект);school;planned;2025-10-24;2025-11-19 23:00:00;2025-11-19 23:00:00;;региональный
2025/2026;Информатика (информационная безопасность);school;planned;2025-10-23;2025-11-19 23:00:00;2025-11-19 23:00:00;;региональный
2025/2026;"Труд (технология) ""1. Техника, технологии и техническое творчество""";school;planned;2025-09-17;2025-10-31 16:00:00;2025-10-31 16:00:00;;региональный
2025/2026;"Труд (технология) ""2. Культура дома, дизайн и технологии""";school;planned;2025-09-17;2025-10-31 16:00:00;2025-10-31 16:00:00;;региональный
