№,Код,Полное название ОО,Короткое название ОО,уровень образовательной программы,АТЕ,МСУ,is_urban
1,101001,Муниципальное общеобразовательное учреждение гимназия №1 города Агрыз Агрызского муниципального района Республики Татарстан,МОУ гимназия №1 города Агрыз Агрызского муниципального района РТ,3,10,10,1
2,101002,Муниципальное общеобразовательное учреждение общеобразовательная организация №2 города Агрыз Агрызского муниципального района Республики Татарстан,МОУ общеобразовательная организация №2 города Агрыз Агрызского муниципального района РТ,3,10,10,1
3,101003,Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №3 имени Тази Гиззата г. Агрыз Агрызского муниципального района Республики Татарстан,МБОУ средняя общеобразовательная школа №3 имени Тази Гиззата г. Агрыз,3,10,10,1
4,101004,Муниципальное бюджетное общеобразовательное учреждение средняя общеобразовательная школа №4 города Агрыз Агрызского муниципального района Республики Татарстан,Средняя общеобразовательная школа №4 города Агрыз,3,10,10,1
5,102005,Муниципальное общеобразовательное учреждение Азевская основная общеобразовательная школа Агрызского муниципального района Республики Татарстан,"МБОУ ""Азевская ООШ АМР РТ""",2,10,10,0
6,102006,Муниципальное общеобразовательное учреждение Бимская средняя общеобразовательная школа Агрызского муниципального района Республики Татарстан,МБОУ Бимская СОШ Агрызского района РТ,2,10,10,0
7,102013,Муниципальное бюджетное общеобразовательное учреждение Красноборская средняя общеобразовательная школа Агрызского муниципального района Республики Татарстан,МБОУ Красноборская средняя общеобразовательная школа,3,10,10,0
8,102015,Муниципальное общеобразовательное учреждение Кулегашская начальная школа детский сад Агрызского муниципального района Республики Татарстан,МОУ Кулегашская начальная школа детский сад Агрызского муниципального района РТ,3,10,10,0
9,102017,Муниципальное общеобразовательное учреждение Сарсак-Омгинский лицей Агрызского муниципального района Республики Татарстан,МОУ Сарсак-Омгинский лицей Агрызского муниципального района РТ,3,10,10,0
10,104007,"Муниципальное бюджетное общеобразовательное учреждение ""Девятернинская основная общеобразовательная школа имени Лябиба Айтуганова Агрызского муниципального района Республики Татарстан""","МБОУ "" Девятернинская ООШ им.Л.Айтуганова АМР РТ""",2,10,10,0
11,104008,Муниципальное общеобразовательное учреждение Иж-Бобьинская средняя общеобразовательная школа Агрызского муниципального района Республики Татарстан,МОУ Иж-Бобьинская средняя общеобразовательная школа Агрызского муниципального района РТ,3,10,10,0
12,104009,Муниципальное общеобразовательное учреждение Исенбаевская средняя общеобразовательная школа Агрызского муниципального района Республики Татарстан,МОУ Исенбаевская средняя общеобразовательная школа Агрызского муниципального района РТ,3,10,10,0
13,104011,Муниципальное общеобразовательное учреждение Кадыбашская средняя общеобразовательная школа Агрызского муниципального района Республики Татарстан,МОУ Кадыбашская средняя общеобразовательная школа Агрызского муниципального района РТ,3,10,10,0
14,104012,Муниципальное общеобразовательное учреждение Кичкетанская общеобразовательная школа Агрызского муниципального района Республики Татарстан,МБОУ Кичкетанская СОШ Агрызского района,3,10,10,0
15,104016,Муниципальное общеобразовательное учреждение Кучуковская общеобразовательная школа Агрызского муниципального района Республики Татарстан,МОУ Кучуковская общеобразовательная школа Агрызского муниципального района РТ,3,10,10,0
16,104018,Муниципальное общеобразовательное учреждение Салаушская средняя общеобразовательная школа Агрызского муниципального района Республики Татарстан,МОУ Салаушская средняя общеобразовательная школа Агрызского муниципального района РТ,3,10,10,0
